hypothesis_id,word,language,sense_from,sense_to,drift_type,drift_year,proposed_trigger,trigger_date,trigger_category,wikidata_qid,evidence_types,confidence,source_urls,source_titles,attributed_to,date
hyp-dalmatian-region,dalmatian,en,"of or from Dalmatia, the Adriatic coastal region; short for 'Dalmatian dog'","a breed of white dog with dark spots, formerly used as a carriage or coach dog",Metonymization,,The Dalmatia region,1810,Cultural,Q528042,LexicographicNote,0.7,https://www.etymonline.com/word/dalmatian,Online Etymology Dictionary -- dalmatian,curator,2026-05-23
hyp-damast-damaskus,Damast,de,"associated with the Syrian city of Damascus, the source of the figured woven cloth",a reversible figured fabric woven with a pattern visible on both sides,Metonymization,,Figured cloth from Damascus,1400,Commercial,Q3766,LexicographicNote,0.85,https://www.dwds.de/wb/Damast,DWDS -- Damast,curator,2026-05-23
hyp-denim-nimes,denim,en,serge de Nimes; a twilled serge cloth associated with the French city of Nimes,"a coarse durable twilled cotton fabric, typically with a blue warp, used for work clothes and jeans",Metonymization,,Textile production at Nimes,1695,Commercial,Q42807,LexicographicNote,0.8,https://www.etymonline.com/word/denim,Online Etymology Dictionary -- denim,curator,2026-05-23
hyp-diesel-patent,Diesel,de,surname of the engineer Rudolf Diesel (1858-1913),compression-ignition engine; by extension the fuel it burns and a vehicle driven by such an engine,Metonymization,,Rudolf Diesel's engine patent,1893,Technology,Q12674,LexicographicNote,0.9,https://www.dwds.de/wb/Diesel,DWDS -- Diesel,curator,2026-05-23
hyp-doomscrolling-covid,doomscrolling,en,online-slang coinage (c. 2018) for endlessly scrolling through negative news on social media,"the compulsive consumption of large quantities of negative online news, widely recognised general vocabulary",Broadening,2020,COVID-19 pandemic,2020,Pandemic,Q81068910,FrequencyCorrelation; LexicographicNote,0.85,https://www.merriam-webster.com/wordplay/doomsurfing-doomscrolling-words-were-watching | https://books.google.com/ngrams/graph?content=doomscrolling,Merriam-Webster - Words We're Watching: 'Doomsurfing' and 'Doomscrolling' | Google Books Ngram Viewer (doomscrolling),curator,2026-05-23
hyp-draconian-code,draconian,en,"of or pertaining to Draco, the Athenian legislator, or to the severe written law code he is said to have produced around 621 BC","excessively harsh or severe, especially of laws, rules, or penalties",Metaphorization,,Draco's Athenian law code (c. 621 BC),0621,Political,,LexicographicNote,0.85,https://www.etymonline.com/word/draconian,Online Etymology Dictionary -- draconian,curator,2026-05-23
hyp-edge-polysemy,edge,en,the sharp cutting side of a blade; the outer limit or boundary of an object or area,"figurative uses: a competitive advantage (to have the edge); tense irritability (on edge, edgy); the leading front of innovation (the cutting edge)",Broadening,,gradual polysemous extension of 'edge' across the 20th century,1950,Cultural,,ChangeSignalAlignment; Speculative,0.55,https://zenodo.org/records/3931969 | https://www.etymonline.com/word/edge | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,SemEval-2020 Task 1 (English) -- graded change 0.59 for 'edge' | edge (n.) -- Online Etymology Dictionary | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel),curator,2026-05-23
hyp-egregious-irony,egregious,en,"remarkably good, distinguished, eminent; standing out from the crowd in a positive way (Latin egregius, 'out of the flock')","remarkably bad; flagrant, conspicuously offensive; outrageously bad in a way that stands out",Reversal,,Ironic reversal of a term of praise,1573,Cultural,,LexicographicNote,0.62,https://www.etymonline.com/word/egregious,Etymonline - egregious (adj.),curator,2026-05-23
hyp-escalator-otis,escalator,en,Otis Elevator Company's trademark for its powered moving stairway,any moving staircase; a powered set of stairs that carries people between floors,Broadening,,Otis markets the Escalator brand,1900,Commercial,Q1134069,LexicographicNote,0.9,https://en.wiktionary.org/wiki/escalator,escalator -- Wiktionary,curator,2026-05-23
hyp-etappe-wwi,Etappe,de,the supply and rear zone behind the front; a halting place or a day's march on a military route,"a stage, phase, or leg; a distinct section of a journey, race, or process",Broadening,,gradual 19th-century generalisation of military 'Etappe',1850,Cultural,,LexicographicNote; Speculative,0.5,https://www.dwds.de/wb/Etappe,DWDS -- Etappe,curator,2026-05-23
hyp-face-polysemy,face,en,"the front part of a person's head, from forehead to chin","extended and figurative uses: an outward surface or front (the face of a cliff, a clock face); public standing or dignity (to lose or save face); nominal worth (face value); the public representative of a cause",Broadening,,gradual polysemous extension of 'face' across the 20th century,1950,Cultural,,ChangeSignalAlignment; Speculative,0.6,https://zenodo.org/records/3931969 | https://www.etymonline.com/word/face | https://www.ims.uni-stuttgart.de/en/research/resources/experiment-data/wugs/,SemEval-2020 Task 1 (English) -- graded change 0.64 for 'face' | face (n.) -- Online Etymology Dictionary | IMS Stuttgart WUG benchmarks -- gold graded-change signal (DWUG/DURel/SURel),curator,2026-05-23
hyp-fahrenheit-scale,fahrenheit,en,the surname of the Prussian-Dutch physicist Daniel Gabriel Fahrenheit,a temperature scale on which water freezes at 32 degrees and boils at 212 degrees,Metonymization,,Fahrenheit invents the mercury thermometer and scale,1714,Technology,Q57073,LexicographicNote,0.9,https://www.etymonline.com/word/fahrenheit,fahrenheit -- Online Etymology Dictionary,curator,2026-05-23
hyp-fascism-mussolini,fascism,en,"the political movement and regime founded by Benito Mussolini in Italy, from Italian 'fascio' (bundle, league)","any authoritarian, ultranationalist, anti-democratic ideology or regime of the far right",Broadening,,Rise of Mussolini's Fasci and the March on Rome,1922,Political,Q468823,LexicographicNote,0.8,https://www.etymonline.com/word/fascism,Online Etymology Dictionary -- fascism,curator,2026-05-23
hyp-filterblase-pariser,Filterblase,de,"literal compound 'filter bubble' (technical/ad hoc), not an established term",the state of intellectual isolation that can result from algorithmic personalisation showing users only agreeable content,Metaphorization,2011,"Eli Pariser, 'The Filter Bubble' (2011)",2011,Media,Q111687183,FrequencyCorrelation; LexicographicNote,0.85,https://www.dwds.de/wb/Filterblase | https://www.dwds.de/wb/Filterblase,DWDS - Filterblase | DWDS Wortverlaufskurve - Filterblase,curator,2026-05-23
hyp-foehn-de-brand,Föhn,de,the Sanitas (later AEG) brand 'Foen' for an electric hair dryer,"any electric hair dryer, regardless of maker (colloquial German, often spelled Foehn)",Broadening,,Sanitas registers the Foen hair-dryer brand,1909,Commercial,,LexicographicNote,0.8,https://de.wiktionary.org/wiki/F%C3%B6hn,Föhn -- Wiktionary,curator,2026-05-23
hyp-frankenstein-shelley,Frankenstein,en,"Victor Frankenstein, the scientist in Mary Shelley's novel who assembles and animates a creature from dead matter",a creation or agency that escapes the control of and ultimately destroys its maker; loosely (and popularly) the monstrous creature itself,Metaphorization,,Mary Shelley's 'Frankenstein' (1818),1818,Cultural,Q150827,LexicographicNote,0.8,https://www.etymonline.com/word/Frankenstein,Online Etymology Dictionary -- Frankenstein,curator,2026-05-23
hyp-frankfurter-frankfurt,frankfurter,en,"of or from Frankfurt am Main, Germany; German 'Frankfurter (Wurst)', sausage of Frankfurt",a smoked beef-and-pork sausage; a hot dog,Metonymization,,Sausage of Frankfurt am Main,1894,Commercial,Q1794,LexicographicNote,0.85,https://www.etymonline.com/word/frankfurter,Online Etymology Dictionary -- frankfurter,curator,2026-05-23
hyp-frau-leveling,Frau,de,"noble lady, mistress of a house; a woman of high rank; an honorific title (MHG frouwe)","any adult female person; a woman, regardless of rank; (also) wife",Broadening,,Soziale Generalisierung eines Standestitels,1700,Cultural,,LexicographicNote,0.6,https://www.dwds.de/wb/Frau,DWDS -- Frau,curator,2026-05-23
hyp-fromm-luther,fromm,de,"capable, brave, useful, upright; someone competent and of good character; 'that profits me' (das frommt mir)","pious, devout, god-fearing; devoted to religion; sometimes (in derivatives) mock-pious or sanctimonious",Narrowing,,Luther's Bible translation 1522-1534,1522,Cultural,Q1571095,LexicographicNote; ScholarlyAttestation,0.8,https://www.diva-portal.org/smash/get/diva2:142956/FULLTEXT01.pdf,"Lieber Gott, mach mich fromm: Zum Wort und Konzept fromm im Wandel der Zeit (DiVA, Stockholms Universitet)",curator,2026-05-23
hyp-front-wwi,Front,de,the foremost line or face of a drawn-up military formation; the side a unit faces,"the front line as the zone of combat; the contested line of confrontation, also figuratively (political front, weather front)",Metonymization,,First World War static trench warfare 1914-1918,1914,Political,Q361,LexicographicNote,0.7,https://www.dwds.de/wb/Front,DWDS -- Front,curator,2026-05-23
hyp-fuchsia-plumier,fuchsia,en,the Latinized surname of the German botanist Leonhart Fuchs,an ornamental flowering shrub with drooping tubular flowers; also a vivid purplish-red colour,Metonymization,,Plumier names the genus Fuchsia for Leonhart Fuchs,1703,Cultural,Q60756,LexicographicNote,0.9,https://www.etymonline.com/word/fuchsia,fuchsia -- Online Etymology Dictionary,curator,2026-05-23
hyp-funk-genre,funk,en,"a strong, musty, unpleasant smell; body odour","earthy, soulful, danceable quality; the funk music genre; (adj. funky) stylish, excellent",Amelioration,,emergence of funk music,1965,Cultural,Q164444,LexicographicNote,0.75,https://www.oed.com/dictionary/funk_n,"Oxford English Dictionary - funk, n.",curator,2026-05-23
hyp-galvanisieren-frogleg,galvanisieren,de,derived from the surname of the Italian physician Luigi Galvani; literally to treat with an electric current,"to electroplate or zinc-coat metal; figuratively, to rouse or energize",Broadening,,Galvani's bioelectricity experiments,1791,Technology,Q1589,LexicographicNote,0.85,https://www.dwds.de/wb/galvanisieren,DWDS -- galvanisieren,curator,2026-05-23
hyp-galvanize-frogleg,galvanize,en,derived from the surname of the Italian physician Luigi Galvani; literally to stimulate muscle by an electric current,"to shock or rouse a person or group into sudden, energetic action; also to coat iron or steel with zinc",Broadening,,Galvani's bioelectricity experiments,1791,Technology,Q1589,LexicographicNote,0.85,https://www.etymonline.com/word/galvanize,galvanize -- Online Etymology Dictionary,curator,2026-05-23
hyp-gargantuan-rabelais,gargantuan,en,"of or pertaining to Gargantua, the voracious giant of Rabelais's satirical romance","enormous; of tremendous size, volume, or extent, especially of appetite, quantity, or scale",Metaphorization,,Rabelais's 'Gargantua' (1534),1534,Cultural,Q822290,LexicographicNote,0.85,https://www.etymonline.com/word/gargantuan,Online Etymology Dictionary -- gargantuan,curator,2026-05-23
hyp-gaslighting-politics,gaslighting,en,"psychological manipulation that makes a victim doubt their own memory, perception, or sanity","(broadened popular use) any grossly misleading, deceptive, or manipulative claim, especially in politics and public discourse",Broadening,2016,Political and media discourse surge (2016-2018),2016,Media,,FrequencyCorrelation; LexicographicNote,0.75,https://www.merriam-webster.com/wordplay/word-of-the-year-2022 | https://books.google.com/ngrams/graph?content=gaslighting,Merriam-Webster - Word of the Year 2022: gaslighting | Google Books Ngram Viewer (gaslighting),curator,2026-05-23
