trigger_id,label,event_date,category,wikidata_qid
trigger-frankenstein-shelley,Mary Shelley's 'Frankenstein' (1818),1818,Cultural,Q150827
trigger-frankfurter-frankfurt,Sausage of Frankfurt am Main,1894,Commercial,Q1794
trigger-frau-leveling,Soziale Generalisierung eines Standestitels,1700,Cultural,
trigger-fromm-luther,Luther's Bible translation 1522-1534,1522,Cultural,Q1571095
trigger-front-wwi,First World War static trench warfare 1914-1918,1914,Political,Q361
trigger-ftp-mirroring,rise of internet FTP mirror sites,1991,Technology,
trigger-fuchsia-plumier,Plumier names the genus Fuchsia for Leonhart Fuchs,1703,Cultural,Q60756
trigger-funk-genre,emergence of funk music,1965,Cultural,Q164444
trigger-galvanisieren-frogleg,Galvani's bioelectricity experiments,1791,Technology,Q1589
trigger-galvanize-frogleg,Galvani's bioelectricity experiments,1791,Technology,Q1589
trigger-gargantuan-rabelais,Rabelais's 'Gargantua' (1534),1534,Cultural,Q822290
trigger-gaslighting-politics,Political and media discourse surge (2016-2018),2016,Media,
trigger-geil-youthslang,West German youth slang of the 1970s-80s,1975,Cultural,
trigger-gendersternchen-debate,German gender-inclusive language debate (2010s),2015,Cultural,
trigger-gerrymander-redistricting,Massachusetts redistricting under Governor Gerry,1812,Political,Q1325397
trigger-gfds-trigger-abwrackpramie-2009,German economic stimulus cash for clunkers program 2009,2009,Economic,
trigger-gfds-trigger-aids-kondom-1987,HIV AIDS epidemic public awareness campaign,1987,Political,
trigger-gfds-trigger-alternative-fakten-2017,Kellyanne Conway alternative facts Trump inauguration 2017,2017,Political,
trigger-gfds-trigger-alternativlos-2010,Merkel austerity policy alternativlos rhetoric 2010,2010,Political,
trigger-gfds-trigger-ampel-aus-2024,collapse of German traffic light coalition 2024,2024,Political,
trigger-gfds-trigger-anti-abschiebe-industrie-2018,German asylum legal aid NGO vilification 2018,2018,Political,
trigger-gfds-trigger-aufmupfig-1971,1968 student protest movement,1971,Political,
trigger-gfds-trigger-aura-2024,TikTok gaming aura points social status youth slang 2024,2024,Cultural,
trigger-gfds-trigger-auslanderfrei-1991,Hoyerswerda anti-foreigner riots East Germany 1991,1991,Political,
trigger-gfds-trigger-babo-2013,Haftbefehl Babo rap song German youth slang spread 2013,2013,Cultural,
trigger-gfds-trigger-besserwessi-1991,post-reunification East-West German social tensions,1991,Political,
trigger-gfds-trigger-betriebsratsverseucht-2009,German employer anti-union works council rhetoric 2009,2009,Political,
trigger-gfds-trigger-biodeutsch-2024,German identity politics ethnic nationality debate 2024,2024,Political,
trigger-gfds-trigger-blackfacing-2014,racial sensitivity debate blackface Germany theater carnival,2014,Political,
trigger-gfds-trigger-boostern-2021,COVID-19 booster vaccination campaign Germany 2021,2021,Pandemic,Q81068910
trigger-gfds-trigger-bundeskanzlerin-2005,Angela Merkel elected first female German chancellor,2005,Political,Q567
trigger-gfds-trigger-corona-diktatur-2020,COVID-19 pandemic measures Querdenken conspiracy movement 2020,2020,Pandemic,
trigger-gfds-trigger-corona-pandemie-2020,COVID-19 coronavirus global pandemic 2020,2020,Pandemic,Q81068910
trigger-gfds-trigger-cringe-2021,YouTube streaming culture youth embarrassment slang,2021,Cultural,
trigger-gfds-trigger-crowdfunding-2012,Kickstarter internet crowdfunding startup culture rise,2012,Cultural,
trigger-gfds-trigger-das-alte-europa-2003,Rumsfeld old Europe statement Iraq War 2003,2003,Political,
trigger-gfds-trigger-der-11-september-2001,September 11 terrorist attacks United States 2001,2001,Political,Q40231
trigger-gfds-trigger-diatenanpassung-1995,German parliamentary salary increase euphemism 1995,1995,Political,
trigger-gfds-trigger-die-neuen-bundeslander-1990,German reunification October 1990,1990,Political,
trigger-gfds-trigger-doner-morde-2011,NSU neo-Nazi murder series Turkish German victims,2011,Political,
trigger-gfds-trigger-ehrenmann-ehrenfrau-2018,hip-hop honor culture German youth praise slang,2018,Cultural,
trigger-gfds-trigger-ellenbogengesellschaft-1982,CDU FDP government social welfare cuts 1982,1982,Political,
trigger-gfds-trigger-entlassungsproduktivitat-2005,German corporate restructuring mass layoff profits 2005,2005,Political,
trigger-gfds-trigger-ethnische-sauberung-1992,Yugoslav Wars ethnic cleansing 1992,1992,Political,
trigger-gfds-trigger-fake-news-2016,Trump election Brexit deliberate disinformation fake news 2016,2016,Political,
trigger-gfds-trigger-fanmeile-2006,2006 FIFA World Cup public viewing Germany,2006,Political,
trigger-gfds-trigger-finanzkrise-2008,Lehman Brothers collapse global financial crisis 2008,2008,Economic,
trigger-gfds-trigger-fluchtlinge-2015,European migration crisis Germany 2015,2015,Economic,
trigger-gfds-trigger-fly-sein-2016,hip-hop fly aesthetic German youth language adoption,2016,Cultural,
trigger-gfds-trigger-for-future-2019,Fridays for Future Greta Thunberg climate movement 2019,2019,Ecological,
trigger-gfds-trigger-freiwillige-ausreise-2006,German asylum deportation policy coerced departure euphemism,2006,Political,
trigger-gfds-trigger-gammelfleischparty-2008,youth party culture over-30 parties generational slang,2008,Political,
trigger-gfds-trigger-gate-2013,NSA surveillance scandal Germany Watergate suffix spread,2013,Political,
trigger-gfds-trigger-gendersternchen-2018,German gender-inclusive language reform feminist activism,2018,Political,
trigger-gfds-trigger-gesundheitsreform-1988,West German healthcare cost reform 1988,1988,Pandemic,
trigger-gfds-trigger-glykol-1985,Austrian glycol wine scandal 1985,1985,Political,
trigger-gfds-trigger-goofy-2023,TikTok goofy trend German youth positive silliness,2023,Cultural,
trigger-gfds-trigger-gotteskrieger-2001,September 11 attacks Taliban al-Qaeda terrorism,2001,Political,
trigger-gfds-trigger-groko-2013,CDU SPD grand coalition negotiations Germany 2013,2013,Political,
trigger-gfds-trigger-gutmensch-2015,refugee crisis Germany right-wing backlash humanitarian critics 2015,2015,Economic,
trigger-gfds-trigger-hartz-iv-2004,Hartz IV labor market welfare reform Germany 2004,2004,Economic,
trigger-gfds-trigger-hartzen-2009,Hartz IV unemployment welfare stigma youth slang,2009,Cultural,
trigger-gfds-trigger-hei-er-herbst-1983,NATO rearmament peace movement protests 1983,1983,Political,
trigger-gfds-trigger-hei-zeit-2018,European extreme heat summer 2018 climate change,2018,Ecological,
trigger-gfds-trigger-herdpramie-2007,German childcare home care benefit political debate 2007,2007,Political,
trigger-gfds-trigger-holocaust-1979,US TV series Holocaust broadcast in Germany,1979,Political,
trigger-gfds-trigger-humankapital-2004,OECD education policy human capital discourse Germany,2004,Political,
trigger-gfds-trigger-i-bims-2017,Vong-Sprache German internet meme absurdist language 2017,2017,Cultural,
trigger-gfds-trigger-ich-ag-2002,Hartz labor reform individual self-employment model Germany,2002,Economic,
trigger-gfds-trigger-influencer-2017,social media influencer marketing YouTube Instagram rise,2017,Cultural,
trigger-gfds-trigger-jamaika-aus-2017,failed Jamaica coalition negotiations Germany 2017,2017,Political,
trigger-gfds-trigger-klimahysterie-2019,Fridays for Future climate movement delegitimization 2019,2019,Ecological,
trigger-gfds-trigger-klimakatastrophe-2007,IPCC Fourth Assessment Report climate crisis 2007,2007,Ecological,
trigger-gfds-trigger-klimaterroristen-2022,Letzte Generation climate activists criminalization Germany 2022,2022,Ecological,
trigger-gfds-trigger-kollateralschaden-1999,NATO Kosovo bombing civilian casualties 1999,1999,Political,Q46083
trigger-gfds-trigger-konspirative-wohnung-1978,RAF Schleyer kidnapping 1977,1978,Political,
trigger-gfds-trigger-krisenmodus-2023,polycrisis simultaneous Germany 2023,2023,Economic,
trigger-gfds-trigger-lauft-bei-dir-2014,German internet meme ironic praise social media spread,2014,Cultural,
trigger-gfds-trigger-leaken-2010,WikiLeaks Julian Assange secret information leaks,2010,Political,
trigger-gfds-trigger-lichtgrenze-2014,25th anniversary Berlin Wall fall light installation 2014,2014,Political,
trigger-gfds-trigger-lockdown-2020,COVID-19 pandemic lockdown restrictions Germany 2020,2020,Pandemic,Q81068910
trigger-gfds-trigger-lost-2020,gaming social media youth slang digital communication,2020,Cultural,
trigger-gfds-trigger-lugenpresse-2014,Pegida movement right-wing press delegitimization 2014,2014,Political,
trigger-gfds-trigger-millennium-1999,Y2K millennium transition year 2000,1999,Political,
trigger-gfds-trigger-multimedia-1995,early internet and digital media revolution 1995,1995,Cultural,
trigger-gfds-trigger-national-befreite-zone-2000,German neo-Nazi far-right territorial extremism,2000,Political,
trigger-gfds-trigger-niveaulimbo-2010,youth party culture declining standards social commentary,2010,Political,
trigger-gfds-trigger-notleidende-banken-2008,2008 global financial crisis bank bailout rhetoric,2008,Economic,
trigger-gfds-trigger-nulllosung-1981,NATO double-track decision nuclear debate,1981,Political,
trigger-gfds-trigger-opfer-abo-2012,German misogynist victim-blaming discourse sexual violence,2012,Political,
trigger-gfds-trigger-peanuts-1994,Hilmar Kopper Deutsche Bank peanuts statement 1994,1994,Economic,
trigger-gfds-trigger-politikverdrossenheit-1992,German party financing scandals public distrust 1992,1992,Political,
trigger-gfds-trigger-postfaktisch-2016,Brexit Trump post-truth politics rise 2016,2016,Political,
trigger-gfds-trigger-pushback-2021,EU border pushback illegal migration human rights violations 2021,2021,Political,
trigger-gfds-trigger-rasterfahndung-1980,West German anti-terrorism policing 1970s,1980,Political,
trigger-gfds-trigger-reformstau-1997,late Kohl government reform paralysis 1997,1997,Political,
trigger-gfds-trigger-refugees-welcome-2015,European refugee crisis Germany welcome culture 2015,2015,Economic,
trigger-gfds-trigger-reisefreiheit-1989,Fall of the Berlin Wall November 1989,1989,Political,
trigger-gfds-trigger-remigration-2023,AfD Potsdam meeting Correctiv remigration leak 2023,2023,Political,
trigger-gfds-trigger-rentnerschwemme-1996,German pension system demographic ageing debate,1996,Political,
trigger-gfds-trigger-respektrente-2019,German minimum pension reform proposal 2019,2019,Political,
trigger-gfds-trigger-rettungsroutine-2012,European sovereign debt crisis bailout packages,2012,Economic,
trigger-gfds-trigger-rot-grun-1998,first federal SPD Greens coalition 1998,1998,Political,
trigger-gfds-trigger-ruckfuhrungspatenschaften-2020,EU migrant deportation policy euphemism 2020,2020,Political,
trigger-gfds-trigger-schwarzgeldaffare-2000,CDU Kohl illegal party donations scandal,2000,Political,
trigger-gfds-trigger-shitstorm-2011,social media outrage culture Twitter Facebook rise Germany,2011,Cultural,
trigger-gfds-trigger-smash-2022,Smash or Pass internet game TikTok youth meme,2022,Cultural,
trigger-gfds-trigger-smombie-2015,smartphone addiction distracted pedestrian culture youth,2015,Cultural,
trigger-gfds-trigger-sozialabbau-1993,German austerity welfare state cuts 1993,1993,Political,
trigger-gfds-trigger-sozialtourismus-2013,EU free movement benefit tourism debate Germany 2013,2013,Political,
trigger-gfds-trigger-sozialvertragliches-fruhableben-1998,German pension costs elderly demographic cynicism 1998,1998,Political,
trigger-gfds-trigger-sparpaket-1996,German federal austerity package 1996,1996,Political,
trigger-gfds-trigger-stresstest-2011,Fukushima nuclear disaster bank stress tests 2011,2011,Ecological,
trigger-gfds-trigger-superwahljahr-1994,multiple simultaneous German elections 1994,1994,Political,
trigger-gfds-trigger-swag-2011,hip-hop culture swag concept German youth language adoption,2011,Cultural,
trigger-gfds-trigger-szene-1977,RAF German Autumn terrorism 1977,1977,Political,
trigger-gfds-trigger-tatervolk-2003,Hohmann antisemitic Tätervolk speech Bundestag 2003,2003,Political,
trigger-gfds-trigger-teuro-2002,Euro currency introduction price perception Germany,2002,Economic,
trigger-gfds-trigger-tschernobyl-1986,Chernobyl nuclear disaster April 1986,1986,Ecological,
trigger-gfds-trigger-uberfremdung-1993,German far-right anti-immigration rhetoric 1993,1993,Political,
trigger-gfds-trigger-umweltauto-1984,catalytic converter environmental debate Germany,1984,Ecological,
trigger-gfds-trigger-volksverrater-2016,German far-right populist anti-politician rhetoric 2016,2016,Political,
trigger-gfds-trigger-wellenbrecher-2021,fourth COVID wave lockdown measures Germany 2021,2021,Pandemic,Q81068910
trigger-gfds-trigger-wohlstandsmull-1997,German long-term unemployment stigma debate 1997,1997,Political,
trigger-gfds-trigger-wutburger-2010,Stuttgart 21 railway protest movement Germany 2010,2010,Political,Q574459
trigger-gfds-trigger-yolo-2012,Drake YOLO hip-hop internet meme spread 2012,2012,Cultural,
trigger-gfds-trigger-zeitenwende-2022,Russia invasion of Ukraine German policy shift 2022,2022,Political,
trigger-ghosting-datingapps,"Mainstreaming of mobile dating apps (Tinder, 2012-)",2015,Technology,
trigger-granola-brand,Granola registered as a cereal brand,1886,Commercial,
trigger-guillotine-revolution,Proposal and adoption of the beheading machine in the French Revolution,1792,Political,Q220650
trigger-gutmensch-unwort,Gutmensch chosen as Unwort des Jahres 2015,2015,Political,
trigger-guy-gunpowder,The Gunpowder Plot of Guy Fawkes,1605,Political,Q13898
trigger-halcyon-alcyone,Alcyone and the calm of the halcyon days,1540,Cultural,Q912904
trigger-hamburger-hamburg,Hamburg steak named for the city of Hamburg,1880,Commercial,Q1055
trigger-harpy-harpies,The Harpies of Greek myth,1400,Cultural,Q181360
trigger-heimat-romantik,German Romanticism and 19th c. nationalism,1800,Cultural,
trigger-herculean-labours,Myth of Hercules and the Twelve Labours,1590,Cultural,
trigger-hermetic-hermes,Hermes Trismegistus and the hermetic seal,1600,Cultural,Q192358
trigger-hertz-waves,Hertz demonstrates electromagnetic waves,1888,Technology,Q41257
trigger-hooligan-press,London press police-court reports of summer 1898,1898,Media,
trigger-impfgegner-covid,COVID-19 vaccination debate (2020-2021),2020,Pandemic,Q81068910
trigger-influencer-instagram,Rise of Instagram and influencer marketing (mid-2010s),2015,Commercial,Q209330
trigger-jeans-genoa,Genoese cloth trade,1567,Commercial,Q1449
trigger-jingoism-song,G. W. Hunt's 1878 music-hall song during the Russo-Turkish crisis,1878,Media,
trigger-joule-heat,Joule's work on the mechanical equivalent of heat,1843,Technology,Q8962
trigger-jovial-jove,Astrological disposition of those born under Jupiter,1580,Cultural,
trigger-kafkaesque-prozess,"Posthumous publication of Kafka's novels ('Der Prozess', 1925)",1925,Cultural,Q905
trigger-kaiser-augustus,Establishment of the Roman imperial title under Augustus,0027,Political,Q1405
trigger-kamikaze-leyte,Japanese kamikaze suicide attacks in the Pacific War,1944,Political,Q308999
trigger-kavalier-hofkultur,"Baroque court culture and the Kavalierstour, 17th century",1650,Cultural,
trigger-kelvin-absolute-scale,Thomson devises the absolute temperature scale,1848,Technology,Q122701
trigger-ketzer-albigensian,Albigensian Crusade against the Cathars,1209,Cultural,Q51657
trigger-klasse-marx,1848 socialist movement and Marx's Das Kapital (1867),1848,Political,Q9061
trigger-kleenex-kc,Kimberly-Clark launches Kleenex,1924,Commercial,Q1741634
trigger-klimakleber-lg,Letzte Generation street-blockade campaign from January 2022,2022,Political,Q110819215
trigger-krass-jugendsprache,Jugendsprachliche Aufwertung eines Negativworts,1985,Cultural,
trigger-labello-de-brand,Beiersdorf introduces Labello,1909,Commercial,Q201691
trigger-labyrinth-crete,The Cretan Labyrinth of Daedalus and the Minotaur,1540,Cultural,Q48963
trigger-laconic-sparta,Reputation of Laconian (Spartan) terseness,1580,Cultural,
trigger-lazarett-venice,Founding of the Venetian Lazzaretto Vecchio,1423,Pandemic,
trigger-leotard-trapeze,Jules Leotard performs the flying trapeze in a close-fitting garment,1859,Cultural,Q356388
trigger-lesbian-sappho,Sappho of Lesbos and her reception,1870,Cultural,Q17892
trigger-linoleum-walton,Walton markets Linoleum floor covering,1864,Commercial,Q907886
trigger-literally-bleaching,Semantic bleaching of an assertive into an intensifier,1800,Cultural,
trigger-luddite-uprising,Luddite machine-breaking uprisings,1811,Technology,Q1159675
trigger-luegenpresse-pegida,"PEGIDA movement demonstrations, Dresden 2014",2014,Political,Q18762431
trigger-lunatic-luna,Belief that the moon (Luna) caused recurring madness,1290,Cultural,
trigger-mach-de-shockwave,Mach studies supersonic shock waves,1887,Technology,Q93996
trigger-machiavellian-principe,Machiavelli's 'Il Principe' (1532),1532,Political,Q1399
trigger-magenta-battle,Battle of Magenta (1859),1859,Political,Q681430
trigger-malapropism-rivals,Premiere of Sheridan's The Rivals,1775,Cultural,Q7760957
trigger-marathon-olympics,Marathon race at the 1896 Athens Olympics,1896,Cultural,Q8080
trigger-masochism-sacher-masoch,Sacher-Masoch's novels and Krafft-Ebing's coinage,1883,Cultural,Q78474
trigger-mauerfall,Fall of the Berlin Wall (Mauerfall),1989,Political,Q69163529
trigger-mausoleum-halicarnassus,Construction of the tomb of Mausolus at Halicarnassus,0353,Cultural,Q296857
trigger-maverick-cattle,Samuel Maverick's unbranded Texas cattle,1867,Cultural,Q346455
trigger-mentor-telemaque,Fenelon's 'Les Aventures de Telemaque' (1699),1699,Cultural,Q421615
trigger-mercurial-mercury,Astrological temperament of those born under Mercury,1640,Cultural,
trigger-mesmerize-mesmer,Franz Mesmer's animal magnetism in vogue in Paris,1784,Cultural,Q160202
trigger-monty-python-spam,Monty Python's Flying Circus 'Spam' sketch (1970),1970,Cultural,Q1777591
trigger-morse-code-telegraph,Morse and Vail develop the telegraph code,1838,Technology,Q75698
trigger-narcissism-coinage,Coinage of 'Narcissism' as a clinical term,1899,Cultural,Q552983
trigger-naughty-weakening,Gradual weakening of a moral condemnation,1630,Cultural,
trigger-nemesis-goddess,Greek goddess Nemesis,1590,Cultural,
trigger-nicotine-tobacco,Nicot introduces tobacco to the French court,1560,Cultural,Q318368
trigger-notorious-collocation,Pejoration by negative collocation,1593,Cultural,
trigger-nylon-dupont,DuPont announces nylon,1938,Commercial,Q221062
trigger-odyssey-homer,Homer's epic poem the Odyssey,1889,Cultural,Q35160
trigger-ohm-de-law,Ohm publishes Ohm's law,1827,Technology,Q1585
trigger-ohm-law,Ohm publishes Ohm's law,1827,Technology,Q1585
trigger-orwellian-1984,Publication of Orwell's 'Nineteen Eighty-Four' (1949),1949,Political,
trigger-owid-1990s-club-culture,1990s club culture,1995,Cultural,
trigger-owid-1990s-fashion-revival,1990s fashion revival,1995,Cultural,
trigger-owid-1990s-marketing-strategies,1990s marketing strategies,1995,Economic,
trigger-owid-1990s-secularization-trends,1990s secularization trends,1995,Cultural,
trigger-owid-1990s-slang,1990s slang,1995,Cultural,
trigger-owid-1990s-youth-fashion,1990s youth fashion,1995,Cultural,
trigger-owid-1990s-youth-subculture,1990s youth subculture,1995,Legal,
trigger-owid-2000s-fashion-trends,2000s fashion trends,2004,Cultural,
trigger-owid-2008-financial-crisis,2008 financial crisis,2004,Economic,
trigger-owid-2012-european-debt-crisis-protests,2012 European debt crisis protests,2014,Political,
trigger-owid-2015-refugee-crisis,2015 refugee crisis,2014,Political,
trigger-owid-3d-printing-technology,3D printing technology,2014,Technology,
trigger-owid-5g-mobile-technology,5G mobile technology,2014,Technology,
trigger-owid-adoption-practices-in-germany,adoption practices in Germany,2004,Social,
trigger-owid-adventure-tourism-growth,adventure tourism growth,1995,Sport,
trigger-owid-aging-population-marketing,aging population marketing,2004,Social,
trigger-owid-airline-loyalty-programs,airline loyalty programs,1995,Economic,
trigger-owid-alcohol-industry-trends,alcohol industry trends,2004,Economic,
trigger-owid-aldi-supermarket-brand,Aldi supermarket brand,2004,Economic,
trigger-owid-aldi-supermarket-chain,Aldi supermarket chain,1995,Economic,
trigger-owid-allergy-awareness,allergy awareness,2004,Health,
trigger-owid-american-sneaker-fashion,American sneaker fashion,2004,Cultural,
trigger-owid-animal-microchipping-technology,animal microchipping technology,2004,Technology,
trigger-owid-anti-aging-treatments,anti-aging treatments,2004,Health,
trigger-owid-arab-spring,Arab Spring,2014,Political,
trigger-owid-asylum-policy-debates,asylum policy debates,1995,Political,
trigger-owid-automated-parking-systems,automated parking systems,2004,Technology,
trigger-owid-automotive-safety-technology,automotive safety technology,1995,Technology,
trigger-owid-automotive-technology,automotive technology,2004,Technology,
trigger-owid-autonomous-vehicle-technology,autonomous vehicle technology,2014,Technology,
trigger-owid-beauty-trends,beauty trends,2014,Cultural,
trigger-owid-biodiversity-conservation,biodiversity conservation,2014,Environmental,
trigger-owid-biotechnology,Biotechnology,2014,Technology,
trigger-owid-blogging-platforms,blogging platforms,2004,Technology,
trigger-owid-body-modification-trends,body modification trends,1995,Social,
trigger-owid-body-positivity-movement,body positivity movement,2014,Media,
trigger-owid-bologna-process-1999,Bologna Process (1999),2004,Social,
trigger-owid-brexit-political-movement,Brexit political movement,2014,Political,
trigger-owid-brexit-referendum,Brexit referendum,2014,Political,
trigger-owid-bric-economic-forecast,BRIC economic forecast,2004,Economic,
trigger-owid-bric-economic-grouping,BRIC economic grouping,2004,Economic,
trigger-owid-budget-travel-industry,budget travel industry,1995,Economic,
trigger-owid-bundesfreiwilligendienst-initiative,Bundesfreiwilligendienst initiative,2014,Social,
trigger-owid-bundesfreiwilligendienst-program,Bundesfreiwilligendienst program,2014,Social,
trigger-owid-canine-sports-evolution,canine sports evolution,2005,Sport,
trigger-owid-care-work-discourse,care work discourse,2014,Social,
trigger-owid-carving-sport,carving sport,1995,Sport,
trigger-owid-casualwear-fashion-trends,casualwear fashion trends,1995,Cultural,
trigger-owid-cd-rom-technology,CD-ROM technology,1995,Technology,
trigger-owid-cd-technology,CD Technology,1995,Technology,
trigger-owid-cds,CDs,1995,Technology,
trigger-owid-celebrity-behavior-imitation,celebrity behavior imitation,1995,Cultural,
trigger-owid-child-protection-online,child protection online,2014,Social,
trigger-owid-climate-change-mitigation,Climate Change Mitigation,2004,Environmental,
trigger-owid-climate-movement,climate movement,2004,Environmental,
trigger-owid-cloud-computing,cloud computing,2004,Technology,
trigger-owid-cocktail-culture,cocktail culture,2004,Cultural,
trigger-owid-cold-war-nuclear-arms,Cold War nuclear arms,1995,Political,
trigger-owid-colloquial-language-evolution,colloquial language evolution,2004,Linguistic,
trigger-owid-colloquial-language-shift,colloquial language shift,1995,Linguistic,
trigger-owid-computer-security-era,computer security era,2004,Technology,
trigger-owid-confectionery-trends,confectionery trends,2014,Social,
trigger-owid-conflict-diamond-trade,conflict diamond trade,2004,Political,
trigger-owid-consumer-fraud,consumer fraud,2004,Legal,
trigger-owid-corporate-hr-practices,corporate HR practices,1995,Economic,
trigger-owid-corporate-socializing,corporate socializing,2004,Economic,
trigger-owid-corporate-strategy,corporate strategy,1995,Economic,
trigger-owid-corporate-travel-policy-changes,corporate travel policy changes,2014,Economic,
trigger-owid-cosmetic-dentistry-rise,cosmetic dentistry rise,2004,Health,
trigger-owid-cosmetic-procedures,cosmetic procedures,2004,Health,
trigger-owid-craft-beer-movement,craft beer movement,2014,Cultural,
trigger-owid-crime-in-the-1990s,crime in the 1990s,1995,Social,
trigger-owid-crowdsourcing-platforms,crowdsourcing platforms,2014,Technology,
trigger-owid-culinary-terminology,culinary terminology,1995,Cultural,
trigger-owid-cultural-identity,Cultural Identity,2014,Social,
